Диктор - 0 распознано0; процентов - 0
Диктор - 1 распознано1; процентов - 100
Диктор - 2 распознано0; процентов - 0
Диктор - 3 распознано1; процентов - 100
Диктор - 4 распознано0; процентов - 0
Диктор - 5 распознано0; процентов - 0
Диктор - 6 распознано0; процентов - 0
Диктор - 7 распознано0; процентов - 0
Диктор - 8 распознано0; процентов - 0
Диктор - 9 распознано0; процентов - 0
Диктор - 10 распознано1; процентов - 100
Диктор - 11 распознано1; процентов - 100
Диктор - 12 распознано0; процентов - 0
Диктор - 13 распознано0; процентов - 0
Диктор - 14 распознано1; процентов - 100
Диктор - 15 распознано0; процентов - 0
Диктор - 16 распознано0; процентов - 0
Диктор - 17 распознано0; процентов - 0
Диктор - 18 распознано0; процентов - 0
Диктор - 19 распознано1; процентов - 100
Диктор - 20 распознано0; процентов - 0
Диктор - 21 распознано1; процентов - 100
Диктор - 22 распознано1; процентов - 100
Диктор - 23 распознано1; процентов - 100
Диктор - 24 распознано0; процентов - 0
Диктор - 25 распознано1; процентов - 100
Диктор - 26 распознано0; процентов - 0
Диктор - 27 распознано1; процентов - 100
Диктор - 28 распознано1; процентов - 100
Диктор - 29 распознано1; процентов - 100
Диктор - 30 распознано0; процентов - 0
Диктор - 31 распознано1; процентов - 100
Диктор - 32 распознано1; процентов - 100
Диктор - 33 распознано1; процентов - 100
Диктор - 34 распознано0; процентов - 0
Диктор - 35 распознано1; процентов - 100
Диктор - 36 распознано1; процентов - 100
Диктор - 37 распознано1; процентов - 100
Диктор - 38 распознано1; процентов - 100
Диктор - 39 распознано1; процентов - 100
Диктор - 40 распознано1; процентов - 100
Диктор - 41 распознано0; процентов - 0
Диктор - 42 распознано1; процентов - 100
Диктор - 43 распознано1; процентов - 100
Диктор - 44 распознано0; процентов - 0
Диктор - 45 распознано1; процентов - 100
Диктор - 46 распознано1; процентов - 100
Диктор - 47 распознано1; процентов - 100
Диктор - 48 распознано1; процентов - 100
Диктор - 49 распознано0; процентов - 0
Всего распознано верно - 28
Всего распознано верно проценты - 0
Всего распознано неверно - 22
Всего распознано неверно проценты - 0
