Диктор - 0 распознано0; процентов - 0
Диктор - 1 распознано6; процентов - 100
Диктор - 2 распознано1; процентов - 16
Диктор - 3 распознано3; процентов - 50
Диктор - 4 распознано1; процентов - 16
Диктор - 5 распознано4; процентов - 66
Диктор - 6 распознано5; процентов - 83
Диктор - 7 распознано3; процентов - 50
Диктор - 8 распознано0; процентов - 0
Диктор - 9 распознано2; процентов - 33
Диктор - 10 распознано2; процентов - 33
Диктор - 11 распознано6; процентов - 100
Диктор - 12 распознано3; процентов - 50
Диктор - 13 распознано3; процентов - 50
Диктор - 14 распознано3; процентов - 50
Диктор - 15 распознано0; процентов - 0
Диктор - 16 распознано0; процентов - 0
Диктор - 17 распознано1; процентов - 16
Диктор - 18 распознано3; процентов - 50
Диктор - 19 распознано6; процентов - 100
Диктор - 20 распознано1; процентов - 16
Диктор - 21 распознано5; процентов - 83
Диктор - 22 распознано5; процентов - 83
Диктор - 23 распознано6; процентов - 100
Диктор - 24 распознано2; процентов - 33
Диктор - 25 распознано6; процентов - 100
Диктор - 26 распознано0; процентов - 0
Диктор - 27 распознано6; процентов - 100
Диктор - 28 распознано6; процентов - 100
Диктор - 29 распознано2; процентов - 33
Диктор - 30 распознано0; процентов - 0
Диктор - 31 распознано5; процентов - 83
Диктор - 32 распознано3; процентов - 50
Диктор - 33 распознано3; процентов - 50
Диктор - 34 распознано0; процентов - 0
Диктор - 35 распознано4; процентов - 66
Диктор - 36 распознано6; процентов - 100
Диктор - 37 распознано5; процентов - 83
Диктор - 38 распознано5; процентов - 83
Диктор - 39 распознано6; процентов - 100
Диктор - 40 распознано4; процентов - 66
Диктор - 41 распознано0; процентов - 0
Диктор - 42 распознано6; процентов - 100
Диктор - 43 распознано3; процентов - 50
Диктор - 44 распознано0; процентов - 0
Диктор - 45 распознано2; процентов - 33
Диктор - 46 распознано6; процентов - 100
Диктор - 47 распознано6; процентов - 100
Диктор - 48 распознано6; процентов - 100
Диктор - 49 распознано0; процентов - 0
Всего распознано верно - 161
Всего распознано верно проценты - 53
Всего распознано неверно - 139
Всего распознано неверно проценты - 46
